"terrain_ruggedness_index","sws_mean","o2_mean","si_mean","thetao_mean"
20,0,300,10,2
0,0.1,310,10,2
20,0,310,10,0
0,0,300,10,0
0,0,300,10,0
0,0,300,10,0
0,0,310,10,0
10,0,310,10,0
20,0,300,10,0
10,0,310,10,2
10,0,310,10,2
0,0,300,10,0
10,0,300,10,0
10,0,300,10,0
10,0,300,10,0
0,0,300,10,0
10,0,300,10,2
0,0,300,10,2
10,0,300,10,2
10,0,300,10,2
10,0,300,10,2
10,0,300,10,2
20,0,300,10,2
10,0,300,10,0
50,0.1,300,10,2
50,0.1,300,10,2
50,0.1,300,10,2
50,0.1,300,10,2
340,0,300,10,2
50,0.1,300,10,2
10,0,300,10,0
0,0,310,10,2
10,0,300,10,0
20,0,310,10,0
0,0,310,10,2
10,0.1,290,10,4
10,0,290,10,4
0,0,290,10,6
0,0,290,10,4
0,0,280,10,6
0,0,290,10,4
40,0,300,10,4
10,0,280,10,4
10,0,280,10,6
10,0,280,10,6
10,0,280,10,6
10,0,280,10,6
0,0,280,10,6
20,0.1,290,10,6
10,0,300,10,4
0,0,290,10,2
10,0,290,10,2
10,0,290,10,2
10,0,300,10,4
10,0,290,10,4
10,0,290,10,4
0,0.1,310,10,2
10,0,300,10,2
20,0.1,290,10,2
0,0,290,10,2
0,0,290,10,2
10,0,310,10,2
20,0,300,10,0
20,0,300,10,0
20,0,310,10,0
20,0,310,10,0
0,0,300,10,0
0,0,300,10,0
0,0,300,10,0
10,0,310,10,0
10,0,310,10,0
0,0,310,10,2
0,0,310,10,2
20,0,300,10,0
20,0,300,10,0
10,0,300,10,0
10,0,300,10,0
0,0,300,10,0
40,0,300,10,2
10,0,300,10,2
10,0,300,10,2
0,0,280,10,6
0,0,280,10,6
0,0,280,10,6
30,0,290,10,6
30,0,290,10,6
10,0.1,290,10,6
0,0,290,10,6
50,0,300,0,6
10,0,290,10,4
10,0,290,10,4
10,0,290,10,4
10,0,290,10,4
10,0,290,10,4
10,0,290,10,4
0,0,290,10,6
10,0,280,10,6
10,0,280,10,6
10,0,280,10,6
10,0,280,10,6
10,0,280,10,6
10,0,280,10,6
10,0,280,10,6
