"","species","countryCode","decimalLatitude","decimalLongitude"
"338","Anthracoceros malayanus","MY",4.447552,115.48829
"339","Buceros bicornis","MY",6.366567,99.81818
"340","Anthracoceros albirostris","MY",5.468624,118.187744
"341","Buceros rhinoceros","MY",5.0198,117.7462
"342","Anthracoceros albirostris","MY",6.313526,99.853935
"343","Anthracoceros malayanus","MY",5.876139,117.944145
"344","Berenicornis comatus","MY",4.389419,102.398476
"345","Rhyticeros undulatus","MY",3.959491,115.61544
"346","Berenicornis comatus","MY",5.511777,118.29837
"347","Anorrhinus galeritus","MY",4.471011,117.91626
"348","Rhyticeros undulatus","MY",3.404957,101.83777
"349","Buceros rhinoceros","MY",5.019704,117.74618
"350","Anthracoceros albirostris","MY",5.498167,118.280914
"351","Buceros rhinoceros","MY",5.01992,117.74624
"352","Buceros rhinoceros","MY",5.0198,117.7462
"353","Anorrhinus galeritus","MY",5.239341,118.71002
"354","Anthracoceros albirostris","MY",5.876139,117.944145
"355","Anthracoceros albirostris","MY",5.53757,118.297104
"356","Anthracoceros malayanus","MY",5.464946,118.25358
"357","Anthracoceros albirostris","MY",4.857081,100.74997
"358","Buceros rhinoceros","MY",5.633886,117.01007
"359","Rhabdotorrhinus corrugatus","MY",5.485703,118.287
"360","Rhyticeros undulatus","MY",3.404957,101.83777
"361","Buceros rhinoceros","MY",5.0198,117.7462
"362","Rhyticeros undulatus","MY",5.642553,117.00256
"363","Anthracoceros albirostris","MY",4.041343,101.17484
"364","Anthracoceros malayanus","MY",1.861087,103.892876
"365","Anthracoceros malayanus","MY",5.485703,118.287
"366","Anorrhinus galeritus","MY",5.49595,118.284134
"367","Anthracoceros malayanus","MY",5.491432,118.20993
"368","Anorrhinus galeritus","MY",5.876139,117.944145
"369","Anorrhinus galeritus","MY",4.439467,115.537636
"370","Buceros rhinoceros","MY",5.406042,117.95299
"371","Anthracoceros malayanus","MY",5.474088,118.203964
"372","Rhyticeros undulatus","MY",5.642553,117.00256
"373","Anorrhinus galeritus","MY",5.468624,118.187744
"374","Buceros rhinoceros","MY",5.498167,118.280914
"375","Anthracoceros albirostris","MY",2.528176,101.81491
"376","Rhabdotorrhinus corrugatus","MY",5.491432,118.20993
"377","Buceros rhinoceros","MY",5.877041,117.939476
"378","Rhabdotorrhinus corrugatus","MY",5.464946,118.25358
"379","Berenicornis comatus","MY",5.876139,117.944145
"380","Anthracoceros malayanus","MY",3.592423,102.14082
"381","Rhabdotorrhinus corrugatus","MY",2.29987,103.65539
"382","Rhyticeros undulatus","MY",5.239341,118.71002
"383","Buceros rhinoceros","MY",4.641101,117.52831
"384","Anthracoceros albirostris","MY",4.962297,117.80357
"385","Anthracoceros albirostris","MY",5.464946,118.25358
"386","Rhyticeros undulatus","MY",5.468624,118.187744
"387","Buceros rhinoceros","MY",5.876139,117.944145
"388","Berenicornis comatus","MY",5.464946,118.25358
"389","Anthracoceros albirostris","MY",5.496077,118.28226
"390","Anthracoceros albirostris","MY",2.412545,101.855576
"391","Rhyticeros undulatus","MY",4.439467,115.537636
"392","Anthracoceros albirostris","MY",2.811115,103.45413
"393","Anthracoceros albirostris","MY",5.492756,118.217384
"394","Anthracoceros albirostris","MY",1.861087,103.892876
"395","Anthracoceros malayanus","MY",5.508055,118.29737
"396","Rhabdotorrhinus corrugatus","MY",2.29987,103.65539
